"","Name","FIDE.ID","Born","Birthplace","Died","Title.Year","Federation","Sex","Notes"
"1","Aagaard, Jacob",1401815,"1973-07-31","Hørsholm","",2007,"Denmark","M","Di Felice; title application; currently Scotland"
"2","Abasov, Nijat",13402960,"1995-05-14","Baku","",2011,"Azerbaijan","M","Di Felice; title application"
"3","Abbasifar, Hasan",12501000,"1972-09-12","Shiraz","",2013,"Iran","M","Di Felice; title application"
"4","Abbasov, Farid",13400665,"1979-01-31","Baku","",2007,"Azerbaijan","M","Di Felice; title application"
"5","Abdusattorov, Nodirbek",14204118,"2004-09-18","Tashkent","",2018,"Uzbekistan","M","title application"
"6","Abergel, Thal",614890,"1982-10-13","Haifa","",2008,"France","M","Di Felice; title application"
"7","Abramović, Boško",900206,"1951-02-14","Zrenjanin","",1984,"Yugoslavia","M","Di Felice; currently Serbia"
"8","Abreu Delgado, Aryam",3502589,"1978-07-09","Güines","",2008,"Cuba","M","Di Felice; title application"
"9","Ács, Péter",708020,"1981-05-10","Eger","",1998,"Hungary","M","Di Felice"
"10","Aczél, Gergely",727709,"1991-02-27","Budapest","",2018,"Hungary","M","Di Felice; title application"
"11","Adams, Michael",400041,"1971-11-17","Truro","",1989,"England","M","Di Felice"
"12","Adhiban B.",5018471,"1992-08-15","Chennai","",2010,"India","M","Di Felice; title application"
"13","Adianto, Utut",7100019,"1965-03-16","Jakarta","",1986,"Indonesia","M","Di Felice"
"14","Adly, Ahmed",10601619,"1987-02-19","Cairo","",2005,"Egypt","M","Di Felice; title application"
"15","Adorján, András",700096,"1950-03-31","Budapest","",1973,"Hungary","M","Di Felice"
"16","Afanasiev, Nikita",24183555,"2000-08-29","","",2020,"Russia","M","title application"
"17","Agaragimov, Djakhangir",13401718,"1986-12-05","","",2014,"Azerbaijan","M","Di Felice; title application"
"18","Agdestein, Simen",1500015,"1967-05-15","Asker","",1985,"Norway","M","Di Felice"
"19","Aghamaliyev, Cemil",13400215,"1974-08-31","","",2002,"Azerbaijan","M","Di Felice; formerly Gamil Agamaliev; currently Turkey"
"20","Aghasaryan, Robert",13302841,"1994-03-01","Saint Petersburg","",2014,"Armenia","M","Di Felice; title application"
"21","Agrest, Evgenij",1705024,"1966-08-15","Vitebsk","",1997,"Russia","M","Di Felice; currently Sweden"
"22","Agüero Jiménez, Luis Lázaro",3508455,"1991-01-05","Havana","",2019,"Cuba","M","Di Felice; title application"
"23","Agzamov, Georgy",NA,"1954-09-06","Almalyk","1986-08-27",1984,"Soviet Union","M","Di Felice"
"24","Ajrapetjan, Yuriy",14109069,"1988-04-18","Yerevan","",2007,"Ukraine","M","Di Felice; title application"
"25","Akash G.",5040299,"1996-10-01","Chennai","",2020,"India","M","title application"
"26","Akbaev, Kazbek",4131045,"1981-06-08","Cherkessk","",2015,"Russia","M","Di Felice; title application"
"27","Åkesson, Ralf",1700120,"1961-02-08","Oxelösund","",1995,"Sweden","M","Di Felice"
"28","Akobian, Varuzhan",13300580,"1983-11-19","Yerevan","",2004,"Armenia","M","Di Felice; currently United States"
"29","Akopian, Vladimir",13300032,"1971-12-07","Baku","",1991,"Armenia","M","Di Felice"
